2025-09-16 18:40:01 [Logger/constructor] [info]: Logger initialized successfully at .\core_logger\core_logger.log
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: === ITHACA PLUGIN STARTING ===
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: Plugin initialized
[2025-09-16 18:40:01] [IthacaPluginProcessor/constructor] [info]: Default sample directory: C:\Users\jindr\AppData\Roaming\IthacaPlayer\instrument
[2025-09-16 18:40:06] [IthacaPluginProcessor/setStateInformation] [info]: Plugin state loaded
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: === PREPARING AUDIO PROCESSING ===
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: Sample rate: 48000.000000 Hz
[2025-09-16 18:40:06] [IthacaPluginProcessor/prepareToPlay] [info]: Buffer size: 480 samples
[2025-09-16 18:40:06] [IthacaPluginProcessor/initializeSampler] [info]: Initializing IthacaCore sampler...
[2025-09-16 18:40:06] [EnvelopeStaticData/initialize] [info]: Starting global envelope generation for all sample rates
[2025-09-16 18:40:06] [EnvelopeStaticData/generateEnvelopeForSampleRate] [info]: Generating envelopes for 44100 Hz
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100024, 0.100012, 0.100000, 0.099988]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010004, 0.010002, 0.010001, 0.010000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[11] begin: [0.000000, 0.000109, 0.000218, 0.000327]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899978, 0.899989, 0.900000, 0.900011]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989997, 0.989998, 0.989999, 0.990000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) MIDI[11] begin: [1.000000, 0.999891, 0.999782, 0.999673]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100022, 0.100011, 0.100000, 0.099989]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010003, 0.010002, 0.010001, 0.010000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[12] begin: [0.000000, 0.000100, 0.000200, 0.000300]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899980, 0.899990, 0.900000, 0.900010]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) end: [0.989997, 0.989998, 0.989999, 0.990000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) MIDI[12] begin: [1.000000, 0.999900, 0.999800, 0.999700]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) half: [0.100020, 0.100010, 0.100000, 0.099990]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: release (44100 Hz) end: [0.010003, 0.010002, 0.010001, 0.010000]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) MIDI[13] begin: [0.000000, 0.000092, 0.000185, 0.000277]
[2025-09-16 18:40:10] [EnvelopeStaticData/generate] [debug]: attack (44100 Hz) half: [0.899982, 0.899991, 0.900000, 0.900009]
